Basin.Name,Native.Exotic.Status,Equilibrium,Opportunistic,Periodic,Country,Ecoregion,Median.Longitude,Median.Latitude,RBA,MAT,TS,GDP,CSI,NSR,PRD,SRD
Anseongcheon,Native,0.124206139,0.379817121,0.495976739,South Korea,Palearctic,127.1428566,37.08417976,1449.679603,11.37099557,1031.672811,132.7092648,90.95686131,79,0.29,0.862068966
Anseongcheon,Non-native,0.097176565,0.294377594,0.608445842,South Korea,Palearctic,127.1428566,37.08417976,1449.679603,11.37099557,1031.672811,132.7092648,90.95686131,79,0.29,0.862068966
Ansons,Native,0.066790586,0.333094884,0.600114531,Australia,Australasia,148.1705504,-41.10881383,259.6754538,12.51330372,315.2157108,0.100287441,99.9450658,13,0.29,0.344827586
Ansons,Non-native,0.28782068,0,0.71217932,Australia,Australasia,148.1705504,-41.10881383,259.6754538,12.51330372,315.2157108,0.100287441,99.9450658,13,0.29,0.344827586
Antelope.Wash,Native,0.19525682,0,0.80474318,United States,Nearctic,-116.3788289,39.40082088,8018.241536,7.303308119,807.1602011,0.099973505,99.80695105,1,0.52,0.192307692
Antelope.Wash,Non-native,0.257909145,0.209250604,0.532840251,United States,Nearctic,-116.3788289,39.40082088,8018.241536,7.303308119,807.1602011,0.099973505,99.80695105,1,0.52,0.192307692
Anzali,Native,0.123193811,0.232225567,0.644580621,Iran,Palearctic,49.2904526,37.25954584,3934.496682,13.05151522,736.7561989,10.87926126,98.94632365,34,0.29,0.724137931
Anzali,Non-native,0.097586898,0.235688808,0.666724294,Iran,Palearctic,49.2904526,37.25954584,3934.496682,13.05151522,736.7561989,10.87926126,98.94632365,34,0.29,0.724137931
Aojiang,Native,0.118843335,0.33627965,0.544877015,China,Indo-Malay,120.3204611,27.56728568,1290.608328,17.01200736,725.3964077,13.19328511,93.97740593,52,0.27,0.814814815
Aojiang,Non-native,0.175521364,0.143738753,0.680739883,China,Indo-Malay,120.3204611,27.56728568,1290.608328,17.01200736,725.3964077,13.19328511,93.97740593,52,0.27,0.814814815
Aorere,Native,0.040791523,0.36282464,0.596383837,New Zealand,Australasia,172.5191801,-40.85973448,712.6144924,9.863699204,352.0219638,0.15868124,99.95740309,13,0.24,0.583333333
Aorere,Non-native,0.203305687,0.042891132,0.753803182,New Zealand,Australasia,172.5191801,-40.85973448,712.6144924,9.863699204,352.0219638,0.15868124,99.95740309,13,0.24,0.583333333
Apalachicola,Native,0.219720343,0.34315454,0.437125117,United States,Nearctic,-84.66505902,32.19953313,50882.64753,17.73031466,691.512386,24.96456099,95.10971022,124,0.24,0.583333333
